Method,Dataset,Slice,Modality,GT,Clustering,Runtime,Status,Moran_I,ARI,NMI,cASW,cLISI,SC_Score,BioC_Score,Error,Silhouette,DBI,CHI,BVC_Score
CANDIES,Human_Lymph_Nodes,A1,RNA_ADT,True,leiden,931.9,OK,0.9377680251992359,0.1694855858061537,0.31665619248311205,0.4637775085866451,0.8937830505301859,0.9377680251992359,0.4609255843515242,,,,,
CANDIES,Human_Lymph_Nodes,A1,RNA_ADT,True,louvain,931.9,OK,0.9377680251992359,0.15567472936210425,0.3153758173647933,0.4637775085866451,0.8937830505301859,0.9377680251992359,0.4571527764609321,,,,,
CANDIES,Human_Lymph_Nodes,A1,RNA_ADT,True,kmeans,931.9,OK,0.9377680251992359,0.19619166305542682,0.3343572536900589,0.4637775085866451,0.8937830505301859,0.9377680251992359,0.4720273689655792,,,,,
CANDIES,Human_Lymph_Nodes,A1,RNA_ADT,True,mclust,931.9,OK,0.9377680251992359,0.16464242584524547,0.31396728991926753,0.4637775085866451,0.8937830505301859,0.9377680251992359,0.459042568720336,,,,,
CANDIES,Human_Lymph_Nodes,D1,RNA_ADT,True,leiden,904.2,OK,0.9407475890817041,0.16118178754012827,0.3263133791904486,0.48365101777017117,0.9056456357434556,0.9407475890817041,0.4691979550610509,,,,,
CANDIES,Human_Lymph_Nodes,D1,RNA_ADT,True,louvain,904.2,OK,0.9407475890817041,0.15568069809514473,0.32982107123317,0.48365101777017117,0.9056456357434556,0.9407475890817041,0.4686996057104854,,,,,
CANDIES,Human_Lymph_Nodes,D1,RNA_ADT,True,kmeans,904.2,OK,0.9407475890817041,0.1893622623565164,0.3381184696047939,0.48365101777017117,0.9056456357434556,0.9407475890817041,0.47919434636873426,,,,,
CANDIES,Human_Lymph_Nodes,D1,RNA_ADT,True,mclust,904.2,OK,0.9407475890817041,0.1763193538529143,0.3263443984295292,0.48365101777017117,0.9056456357434556,0.9407475890817041,0.47299010144901754,,,,,
CANDIES,Human_Tonsils,S1,RNA_ADT,True,leiden,1545.1,OK,0.972894224058696,0.07944615293291703,0.22880281103038558,0.5106873959302902,0.8402015686460332,0.972894224058696,0.4147844821349065,,,,,
CANDIES,Human_Tonsils,S1,RNA_ADT,True,louvain,1545.1,OK,0.972894224058696,0.07889618602839334,0.23523578020049632,0.5106873959302902,0.8402015686460332,0.972894224058696,0.41625523270130327,,,,,
