Method,Dataset,Slice,Modality,GT,Clustering,Runtime,Status,Moran_I,ARI,NMI,cASW,cLISI,SC_Score,BioC_Score,Silhouette,DBI,CHI,BVC_Score
SpaMV,Human_Lymph_Nodes,A1,RNA_ADT,True,leiden,156.3,OK,1.1165074492885236,0.2604711603934999,0.3787963696931399,0.500234526101849,0.898579684000201,1.1165074492885236,0.5095204350471725,,,,
SpaMV,Human_Lymph_Nodes,A1,RNA_ADT,True,louvain,156.3,OK,1.1165074492885236,0.2530739164357656,0.3700554253645017,0.500234526101849,0.898579684000201,1.1165074492885236,0.5054858879755794,,,,
SpaMV,Human_Lymph_Nodes,A1,RNA_ADT,True,kmeans,156.3,OK,1.1165074492885236,0.23314165058880465,0.37740740573760745,0.500234526101849,0.898579684000201,1.1165074492885236,0.5023408166071156,,,,
SpaMV,Human_Lymph_Nodes,A1,RNA_ADT,True,mclust,156.3,OK,1.1165074492885236,0.2386431828527105,0.3869454803289229,0.500234526101849,0.898579684000201,1.1165074492885236,0.5061007183209209,,,,
SpaMV,Human_Lymph_Nodes,D1,RNA_ADT,True,leiden,124.6,OK,1.0871619127512187,0.21595612861899738,0.32132312266296875,0.4875393472611904,0.8849130112832174,1.0871619127512187,0.47743290245659353,,,,
SpaMV,Human_Lymph_Nodes,D1,RNA_ADT,True,louvain,124.6,OK,1.0871619127512187,0.16242333284982183,0.2933722353650069,0.4875393472611904,0.8849130112832174,1.0871619127512187,0.45706198168980916,,,,
SpaMV,Human_Lymph_Nodes,D1,RNA_ADT,True,kmeans,124.6,OK,1.0871619127512187,0.15514739242584924,0.3221387697406749,0.4875393472611904,0.8849130112832174,1.0871619127512187,0.462434630177733,,,,
SpaMV,Human_Lymph_Nodes,D1,RNA_ADT,True,mclust,124.6,OK,1.0871619127512187,0.23375457222850526,0.33726179260920824,0.4875393472611904,0.8849130112832174,1.0871619127512187,0.4858671808455304,,,,
SpaMV,Human_Tonsils,S1,RNA_ADT,True,leiden,133.1,OK,0.9912049022651717,0.07755665376211966,0.25622160357620083,0.5211343821138144,0.8633474223840222,0.9912049022651717,0.42956501545903925,,,,
SpaMV,Human_Tonsils,S1,RNA_ADT,True,louvain,133.1,OK,0.9912049022651717,0.07983285998161982,0.2387430081501792,0.5211343821138144,0.8633474223840222,0.9912049022651717,0.4257644181574089,,,,
SpaMV,Human_Tonsils,S1,RNA_ADT,True,kmeans,133.1,OK,0.9912049022651717,0.14579488410970445,0.25070178418390515,0.5211343821138144,0.8633474223840222,0.9912049022651717,0.44524461819786154,,,,
SpaMV,Human_Tonsils,S1,RNA_ADT,True,mclust,133.1,OK,0.9912049022651717,0.12862946945522427,0.2522194657150037,0.5211343821138144,0.8633474223840222,0.9912049022651717,0.44133268491701616,,,,
SpaMV,Human_Tonsils,S2,RNA_ADT,True,leiden,134.0,OK,0.9945904263463335,0.0814369870357791,0.244889068484201,0.5014172911178321,0.8822506882642738,0.9945904263463335,0.4274985087255215,,,,
SpaMV,Human_Tonsils,S2,RNA_ADT,True,louvain,134.0,OK,0.9945904263463335,0.08889930424546154,0.2531351797147154,0.5014172911178321,0.8822506882642738,0.9945904263463335,0.4314256158355707,,,,
SpaMV,Human_Tonsils,S2,RNA_ADT,True,kmeans,134.0,OK,0.9945904263463335,0.17229027307769473,0.27557618892070845,0.5014172911178321,0.8822506882642738,0.9945904263463335,0.45788361034512726,,,,
SpaMV,Human_Tonsils,S2,RNA_ADT,True,mclust,134.0,OK,0.9945904263463335,0.11620064716936372,0.24641157681193507,0.5014172911178321,0.8822506882642738,0.9945904263463335,0.43657005084085115,,,,
SpaMV,Human_Tonsils,S3,RNA_ADT,True,leiden,142.4,OK,0.9953515198180978,0.05114156243163236,0.18364564786047302,0.4898543143644929,0.8520565841177298,0.9953515198180978,0.39417452719358204,,,,
SpaMV,Human_Tonsils,S3,RNA_ADT,True,louvain,142.4,OK,0.9953515198180978,0.04710067776031524,0.18094182338060988,0.4898543143644929,0.8520565841177298,0.9953515198180978,0.39248834990578696,,,,
SpaMV,Human_Tonsils,S3,RNA_ADT,True,kmeans,142.4,OK,0.9953515198180978,0.13195995974522057,0.22323885723587963,0.4898543143644929,0.8520565841177298,0.9953515198180978,0.42427742886583075,,,,
SpaMV,Human_Tonsils,S3,RNA_ADT,True,mclust,142.4,OK,0.9953515198180978,0.10347470631490271,0.217723824232632,0.4898543143644929,0.8520565841177298,0.9953515198180978,0.41577735725743936,,,,
SpaMV,Mouse_Embryos_S1,E11,RNA_ATAC,True,leiden,103.2,OK,1.0693725252318842,0.2492903840851857,0.46065777168619576,0.514571662992239,0.948678132232458,1.0693725252318842,0.5432994877490196,,,,
SpaMV,Mouse_Embryos_S1,E11,RNA_ATAC,True,louvain,103.2,OK,1.0693725252318842,0.25092450368338165,0.4609499484243636,0.514571662992239,0.948678132232458,1.0693725252318842,0.5437810618331106,,,,
SpaMV,Mouse_Embryos_S1,E11,RNA_ATAC,True,kmeans,103.2,OK,1.0693725252318842,0.3137662347904431,0.4600641166526529,0.514571662992239,0.948678132232458,1.0693725252318842,0.5592700366669483,,,,
